Benchmarking: Clbool-Add

                                     Friendly name|      iterations|  expectation ms|           sd ms| 
                                data/wing/wing.mtx:              10          1.39992        0.0236988
            data/luxembourg_osm/luxembourg_osm.mtx:              10          1.17199         0.077064
                    data/amazon0312/amazon0312.mtx:              10          18.5722          1.52187
                  data/amazon-2008/amazon-2008.mtx:              10          32.1846          2.62171
                    data/web-Google/web-Google.mtx:              10          34.8966        0.0438545
                    data/roadNet-PA/roadNet-PA.mtx:              10          12.1376         0.444149
                    data/roadNet-TX/roadNet-TX.mtx:              10          14.3186        0.0665847
                  data/belgium_osm/belgium_osm.mtx:              10           8.9825        0.0432386
                    data/roadNet-CA/roadNet-CA.mtx:              10          19.4058         0.599103
          data/netherlands_osm/netherlands_osm.mtx:              10          14.2603        0.0614695
                                data/wing/wing.mtx:               1                0                0
            data/luxembourg_osm/luxembourg_osm.mtx:               1                0                0
                    data/amazon0312/amazon0312.mtx:               1                0                0
                  data/amazon-2008/amazon-2008.mtx:               1                0                0
                    data/web-Google/web-Google.mtx:               1                0                0
                    data/roadNet-PA/roadNet-PA.mtx:               1                0                0
                    data/roadNet-TX/roadNet-TX.mtx:               1                0                0
                  data/belgium_osm/belgium_osm.mtx:               1                0                0
                    data/roadNet-CA/roadNet-CA.mtx:               1                0                0
          data/netherlands_osm/netherlands_osm.mtx:               1                0                0
                                data/wing/wing.mtx:              10          1.67413         0.339435
            data/luxembourg_osm/luxembourg_osm.mtx:              10          1.25105        0.0526461
                                data/wing/wing.mtx:               3          1.55408        0.0107629
            data/luxembourg_osm/luxembourg_osm.mtx:               3          1.40451         0.125117
                    data/amazon0312/amazon0312.mtx:               3          22.0709        0.0239801
                  data/amazon-2008/amazon-2008.mtx:               3          38.4383          2.65165
                    data/web-Google/web-Google.mtx:               3          38.4927        0.0348582
                    data/roadNet-PA/roadNet-PA.mtx:               3          13.6273         0.983779
                    data/roadNet-TX/roadNet-TX.mtx:               3          17.2284          1.52983
                  data/belgium_osm/belgium_osm.mtx:               3          11.0709         0.237672
                    data/roadNet-CA/roadNet-CA.mtx:               3          24.0992          1.81962
          data/netherlands_osm/netherlands_osm.mtx:               3          16.7272          1.68423
                                data/wing/wing.mtx:              10           1.6512         0.252609
            data/luxembourg_osm/luxembourg_osm.mtx:              10          1.31235        0.0594909
                    data/amazon0312/amazon0312.mtx:              10          22.3252          1.41655
                  data/amazon-2008/amazon-2008.mtx:              10          37.4393          3.50246
                    data/web-Google/web-Google.mtx:              10          37.0048           0.7584
                    data/roadNet-PA/roadNet-PA.mtx:              10          12.0864         0.782773
                    data/roadNet-TX/roadNet-TX.mtx:              10          17.2495          2.17845
                  data/belgium_osm/belgium_osm.mtx:              10           10.119         0.924085
                    data/roadNet-CA/roadNet-CA.mtx:              10          20.9399         0.949887
          data/netherlands_osm/netherlands_osm.mtx:              10          16.3188          0.70211
                                data/wing/wing.mtx:              10           1.6167         0.187731
            data/luxembourg_osm/luxembourg_osm.mtx:              10          1.29469          0.25399
                    data/amazon0312/amazon0312.mtx:              10          19.7587         0.854819
                  data/amazon-2008/amazon-2008.mtx:              10          33.9558          1.88877
                    data/web-Google/web-Google.mtx:              10          35.6092          0.27711
                    data/roadNet-PA/roadNet-PA.mtx:              10          11.8917         0.772972
                    data/roadNet-TX/roadNet-TX.mtx:              10          13.3928         0.226965
                  data/belgium_osm/belgium_osm.mtx:              10          9.10584         0.138781
                    data/roadNet-CA/roadNet-CA.mtx:              10          19.3712         0.278434
          data/netherlands_osm/netherlands_osm.mtx:              10          14.3427         0.198556
                                data/wing/wing.mtx:               1                0                0
            data/luxembourg_osm/luxembourg_osm.mtx:               1                0                0
                    data/amazon0312/amazon0312.mtx:               1                0                0
                  data/amazon-2008/amazon-2008.mtx:               1                0                0
                    data/web-Google/web-Google.mtx:               1                0                0
                    data/roadNet-PA/roadNet-PA.mtx:               1                0                0
                    data/roadNet-TX/roadNet-TX.mtx:               1                0                0
                  data/belgium_osm/belgium_osm.mtx:               1                0                0
                    data/roadNet-CA/roadNet-CA.mtx:               1                0                0
          data/netherlands_osm/netherlands_osm.mtx:               1                0                0
