Benchmarking: Clbool-Multiply-Hash

                                     Friendly name|      iterations|  expectation ms|           sd ms| 
                                data/wing/wing.mtx:              10          1.29643            205.6
            data/luxembourg_osm/luxembourg_osm.mtx:              10          1.66018         0.585672
                    data/amazon0312/amazon0312.mtx:              10          54.7272           32.458
                  data/amazon-2008/amazon-2008.mtx:              10          84.2873          5.66693
                    data/web-Google/web-Google.mtx:              10          125.536          191.434
                    data/roadNet-PA/roadNet-PA.mtx:              10          14.5209         0.967424
                    data/roadNet-TX/roadNet-TX.mtx:              10          16.8269         0.573062
                  data/belgium_osm/belgium_osm.mtx:              10          16.8668         0.929235
                    data/roadNet-CA/roadNet-CA.mtx:              10          23.5014         0.738147
          data/netherlands_osm/netherlands_osm.mtx:              10           25.018         0.982106


                                data/wing/wing.mtx:              10          1.40633         0.605732
            data/luxembourg_osm/luxembourg_osm.mtx:              10          1.47451         0.654783
                    data/amazon0312/amazon0312.mtx:              10          54.7363          4.00785
                  data/amazon-2008/amazon-2008.mtx:              10          81.0787         0.547789
                    data/web-Google/web-Google.mtx:              10          122.395           108.11
                    data/roadNet-PA/roadNet-PA.mtx:              10          13.7065         0.655668
                    data/roadNet-TX/roadNet-TX.mtx:              10          15.9018         0.843013
                  data/belgium_osm/belgium_osm.mtx:              10          16.2438          1.05112
                    data/roadNet-CA/roadNet-CA.mtx:              10          22.6131         0.742326
          data/netherlands_osm/netherlands_osm.mtx:              10          23.5655         0.526856
                                data/wing/wing.mtx:              10          1.27516          0.63077
            data/luxembourg_osm/luxembourg_osm.mtx:              10          1.38288         0.547898
                                data/wing/wing.mtx:              10          1.26209         0.585133
            data/luxembourg_osm/luxembourg_osm.mtx:              10           1.3789         0.579556
                    data/amazon0312/amazon0312.mtx:              10          76.2044          58.5386
                  data/amazon-2008/amazon-2008.mtx:              10          114.194         0.594202
                    data/web-Google/web-Google.mtx:              10          134.355          144.452
                    data/roadNet-PA/roadNet-PA.mtx:              10          14.0326         0.802767
                    data/roadNet-TX/roadNet-TX.mtx:              10          16.8782         0.570969
                  data/belgium_osm/belgium_osm.mtx:              10          16.7639         0.539152
                    data/roadNet-CA/roadNet-CA.mtx:              10          23.4359         0.662456
          data/netherlands_osm/netherlands_osm.mtx:              10          24.5526         0.738292

                                data/wing/wing.mtx:              10          1.39129         0.616693
            data/luxembourg_osm/luxembourg_osm.mtx:              10          1.50076         0.667162
                    data/amazon0312/amazon0312.mtx:              10          55.7421           4.7178
                  data/amazon-2008/amazon-2008.mtx:              10          83.4632          4.45767
                    data/web-Google/web-Google.mtx:              10          124.985         0.600289
                    data/roadNet-PA/roadNet-PA.mtx:              10          13.6014         0.355397
                    data/roadNet-TX/roadNet-TX.mtx:              10          16.6162         0.388802
                  data/belgium_osm/belgium_osm.mtx:              10          16.1469         0.433146
                    data/roadNet-CA/roadNet-CA.mtx:              10          22.9148         0.420061
          data/netherlands_osm/netherlands_osm.mtx:              10          24.6244         0.557395
                    data/amazon0312/amazon0312.mtx:               2          62.5937          1.49597
                  data/amazon-2008/amazon-2008.mtx:               2          92.7448         0.677405
                    data/web-Google/web-Google.mtx:               2          131.716          9.70358
                                data/wing/wing.mtx:              10          1.37947         0.608394
            data/luxembourg_osm/luxembourg_osm.mtx:              10          1.37709         0.639144
                    data/amazon0312/amazon0312.mtx:              10           55.504          3.62094
                  data/amazon-2008/amazon-2008.mtx:              10          81.1702         0.629844
                    data/web-Google/web-Google.mtx:              10          124.802         0.589988
                    data/roadNet-PA/roadNet-PA.mtx:              10          14.1906         0.629848
                    data/roadNet-TX/roadNet-TX.mtx:              10          16.7629         0.607151
                  data/belgium_osm/belgium_osm.mtx:              10           17.248         0.569197
                    data/roadNet-CA/roadNet-CA.mtx:              10           23.087         0.577393
          data/netherlands_osm/netherlands_osm.mtx:              10          24.9149          1.01288
                                data/wing/wing.mtx:               1                0                0
            data/luxembourg_osm/luxembourg_osm.mtx:               1                0                0
                    data/amazon0312/amazon0312.mtx:               1                0                0
                  data/amazon-2008/amazon-2008.mtx:               1                0                0
                    data/web-Google/web-Google.mtx:               1                0                0
                    data/roadNet-PA/roadNet-PA.mtx:               1                0                0
                    data/roadNet-TX/roadNet-TX.mtx:               1                0                0
                  data/belgium_osm/belgium_osm.mtx:               1                0                0
                    data/roadNet-CA/roadNet-CA.mtx:               1                0                0
          data/netherlands_osm/netherlands_osm.mtx:               1                0                0
